EI_1,EI_2,EI_3,EP_1,EP_2,EP_3,ER_1,ER_2,ER_3,SS_1,SS_2,SS_3,SC_1,SC_2,SC_3,SR_1,SR_2,SR_3,F1,F2,F3,NF1,NF2,NF3,Firm_Age,Firm_Size,WE1,WE2,WE3,gender,founder_employee,age_of_respondent,Education_Level,Business_Area
2,3,4,3,3,4,3,2,4,1,1,3,3,3,3,2,2,1,2,2,3,3,1,3,2,3,4,2,2,1,1,1,3,11
5,5,2,3,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,4,1,2,2,1,4,3,8
1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,4,2,1,2,1,2,4,3,11
3,3,2,1,2,1,2,1,3,2,1,3,1,1,1,2,3,3,3,3,2,3,2,2,3,4,4,2,2,2,1,4,3,11
5,3,5,2,5,4,4,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,1,4,2,1,2,2,2,1,3,11
1,3,3,1,3,3,2,3,1,4,1,2,3,3,1,2,2,1,1,2,3,1,3,1,2,2,1,1,1,1,1,4,3,11
1,2,3,3,2,3,4,2,2,3,1,2,3,1,1,1,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1,4,1,7
4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,1,1,1,2,4,3,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,4,2,7
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,1,2,2,1,1,7
2,1,1,3,4,3,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,3,4,4,1,1,1,2,1,3,11
1,2,3,2,3,2,2,2,1,2,1,4,3,1,1,2,2,1,2,1,2,2,2,3,3,4,4,2,2,2,2,4,3,11
1,4,3,1,2,2,2,1,3,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,4,1,2,1,1,4,3,11
5,2,3,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,3,4,2,2,1,1,4,3,5
1,1,1,2,2,2,2,1,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,1,3,4,1,2,2,1,1,3,11
1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,1,1,4,3,14
2,2,5,1,5,4,3,3,5,2,5,2,3,2,2,3,1,1,1,1,1,1,1,2,2,3,4,1,1,2,1,4,3,8
1,1,1,1,1,1,1,1,1,3,4,3,2,2,2,2,2,1,1,1,1,1,1,1,3,3,4,1,1,2,1,4,3,1
2,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,2,4,4,2,2,2,1,1,1,8
4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,1,1,2,1,1,1,13
1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,1,1,1,3,11
2,1,1,4,3,3,3,3,4,3,4,2,2,4,3,4,3,1,2,3,3,3,3,3,2,3,4,1,1,2,1,1,3,13
1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,3,2,4,1,2,2,2,1,1,2
5,5,3,3,5,3,4,4,4,5,4,3,3,5,5,4,4,4,4,4,3,3,4,4,1,3,4,2,2,2,1,4,3,3
1,3,2,2,4,4,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,3,4,1,2,1,1,4,3,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,1,2,1,4,3,11
1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,1,2,1,1,1,3,8
1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,3,4,2,2,2,1,4,3,11
1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,1,2,2,1,2
2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,3,4,2,2,1,1,4,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,2,1,1,3,5
2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,3,3,4,1,2,1,1,4,3,1
1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,3,4,1,2,1,1,4,3,11
